WMOID  STATION NAME                   COUNTRY                                            STATE                          COUNTY                         CD LATITUDE LONGITUDE ELEVATION
17074  KASTAMONU                      TURKEY                                                                                                                  4122      3346       800
17090  SIVAS                          TURKEY                                                                                                                  3945      3701      1285
17170  VAN                            TURKEY                                                                                                                  3827      4319      1662
17240  ISPARTA                        TURKEY                                                                                                                  3745      3033       997
17375  FINIKE                         TURKEY                                                                                                                  3618      3009         2
20069  OSTROV VIZE                    RUSSIA                                                                                                                  7930      7659        10
20087  OSTROV GOLOMJANNYJ             RUSSIA                                                                                                                  7933      9037         8
20292  GMO IM.E.K. FEDOROVA           RUSSIA                                                                                                                  7743     10418        15
20667  IM. M.V. POPOVA                RUSSIA                                                                                                                  7320      7003         7
20674  OSTROV DIKSON                  RUSSIA                                                                                                                  7330      8024        47
20744  MALYE KARMAKULY                RUSSIA                                                                                                                  7222      5242        15
20891  HATANGA                        RUSSIA                                                                                                                  7159     10228        33
21432  OSTROV KOTEL'NYJ               RUSSIA                                                                                                                  7600     13752         8
21802  SASKYLAH                       RUSSIA                                                                                                                  7158      1144        18
21921  KJUSJUR                        RUSSIA                                                                                                                  7041     12724        33
21931  JUBILEJNAJA                    RUSSIA                                                                                                                  7046     13613        24
21946  COKURDAH                       RUSSIA                                                                                                                  7037     14753        61
21982  OSTROV VRANGELJA               RUSSIA                                                                                                                  7059    -17829         5
22113  MURMANSK                       RUSSIA                                                                                                                  6858       337        51
22217  KANDALAKSA                     RUSSIA                                                                                                                  6709      3221        25
22522  KEM'-PORT                      RUSSIA                                                                                                                  6459      3448         8
22550  ARHANGEL'SK                    RUSSIA                                                                                                                   643      4044         4
22602  REBOLY                         RUSSIA                                                                                                                  6350      3049       182
22802  SORTAVALA                      RUSSIA                                                                                                                  6143      3043        19
22837  VYTEGRA                        RUSSIA                                                                                                                  6101      3627        56
23074  DUDINKA                        RUSSIA                                                                                                                  6924      8610        19
23205  NAR'JAN-MAR                    RUSSIA                                                                                                                  6738      5302        12
23330  SALEHARD                       RUSSIA                                                                                                                  6632      6640        16
23383  AGATA                          RUSSIA                                                                                                                  6652      9328       278
23405  UST'-CIL'MA                    RUSSIA                                                                                                                  6526      5216        68
23472  TURUHANSK                      RUSSIA                                                                                                                  6547      8756        38
23552  TARKO-SALE                     RUSSIA                                                                                                                  6455      7749        27
23631  BEREZOVO                       RUSSIA                                                                                                                  6356      6503        32
23678  VERHNEIMBATSK                  RUSSIA                                                                                                                   639      8757        46
23711  TROICKO-PECERSKOE              RUSSIA                                                                                                                  6242      5612       139
23724  NJAKSIMVOL'                    RUSSIA                                                                                                                  6226      6052        51
23884  BOR                            RUSSIA                                                                                                                  6136      9001        58
23891  BAJKIT                         RUSSIA                                                                                                                  6140      9622       262
23914  CERDYN'                        RUSSIA                                                                                                                  6024      5631       207
23933  HANTY-MANSIJSK                 RUSSIA                                                                                                                  6101      6902        46
23955  ALEKSANDROVSKOE                RUSSIA                                                                                                                  6026      7752        48
24125  OLENEK                         RUSSIA                                                                                                                  6830     11226       220
24143  DZARDZAN                       RUSSIA                                                                                                                  6844     12400        39
24266  VERHOJANSK                     RUSSIA                                                                                                                  6733     13323       137
24329  SELAGONCY                      RUSSIA                                                                                                                  6615     11417       236
24343  ZHIGANSK                       RUSSIA                                                                                                                  6646     12324        92
24382  UST'-MOMA                      RUSSIA                                                                                                                  6627     14314       196
24507  TURA                           RUSSIA                                                                                                                  6416     10014       168
24641  VILJUJSK                       RUSSIA                                                                                                                  6346     12137       111
24671  TOMPO                          RUSSIA                                                                                                                  6357     13552       402
24688  OJMJAKON                       RUSSIA                                                                                                                  6315     14309        41
24738  SUNTAR                         RUSSIA                                                                                                                  6209     11739       133
24817  ERBOGACEN                      RUSSIA                                                                                                                  6116     10801       291
24908  VANAVARA                       RUSSIA                                                                                                                  6020     10216       260
24959  JAKUTSK                        RUSSIA                                                                                                                  6201     12943       101
24966  UST'-MAJA                      RUSSIA                                                                                                                  6023     13427       170
25173  MYS SMIDTA                     RUSSIA                                                                                                                  6854    -17922         4
25248  ILIRNEJ                        RUSSIA                                                                                                                  6715     16758       353
25325  UST'-OLOJ                      RUSSIA                                                                                                                  6633     15925       127
25399  MYS UELEN                      RUSSIA                                                                                                                  6610    -16950         3
25400  ZYRJANKA                       RUSSIA                                                                                                                  6544     15054        43
25538  VERHNEE PENZINO                RUSSIA                                                                                                                  6413     16413       326
25551  MARKOVO                        RUSSIA                                                                                                                  6441     17025        26
25563  ANADYR'                        RUSSIA                                                                                                                  6447     17734        61
25594  BUHTA PROVIDENJA               RUSSIA                                                                                                                  6425    -17314        40
25744  KAMENSKOE                      RUSSIA                                                                                                                  6226     16605        10
25954  KORF                           RUSSIA                                                                                                                  6021     16600         4
26063  ST PETERSBURG                  RUSSIA                                                                                                                  5958      3018         6
26242  TARTU                          ESTONIA                                                                                                                 5818      2644        68
26406  LIEPAJA                        LATVIA                                                                                                                  5629      2101         7
26781  SMOLENSK                       RUSSIA                                                                                                                  5445      3204       239
27037  VOLOGDA                        RUSSIA                                                                                                                  5919      3955       130
27051  TOT''MA                        RUSSIA                                                                                                                  5953      4245       134
27595  KAZAN'                         RUSSIA                                                                                                                  5536      4917       116
27612  MOSKVA                         RUSSIA                                                                                                                  5550      3737       156
27648  ELAT'MA                        RUSSIA                                                                                                                  5457      4146       136
28009  KIRS                           RUSSIA                                                                                                                  5922      5213       169
28064  LEUSI                          RUSSIA                                                                                                                  5937      6543         2
28138  BISER                          RUSSIA                                                                                                                  5831      5851       463
28224  PERM'RS                        RUSSIA                                                                                                                   581       560       171
28275  TOBOL'SK                       RUSSIA                                                                                                                  5809      6815        50
28493  TARA                           RUSSIA                                                                                                                  5654      7423        73
28552  SADRINSK                       RUSSIA                                                                                                                   564      6339        89
