WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
89512 NOVOLAZAREVSKAYA               1999 12
89512 NOVOLAZAREVSKAYA               1996 12
89532 SYOWA                          2005 5
89564 MAWSON                         1999 12
89571 DAVIS                          1995 1
89592 MIRNYJ                         2005 5
89592 MIRNYJ                         1998 12
89592 MIRNYJ                         1996 12
89606 VOSTOK                         2002 12
89606 VOSTOK                         1997 12
89611 CASEY                          1997 12
89642 DUMONT D'URVILLE               2004 12
89642 DUMONT D'URVILLE               2001 12
91554 PEKOA AIRPORT                  2000 12
91554 PEKOA AIRPORT                  1996 12
91568 ANEITYUM                       2005 5
91568 ANEITYUM                       2000 12
91568 ANEITYUM                       1999 12
91592 NOUMEA                         2004 12
91592 NOUMEA                         1998 12
91610 TARAWA                         1998 12
91643 FUNAFUTI                       2002 12
91699 ONO-I-LAU                      2004 12
91699 ONO-I-LAU                      2000 12
91699 ONO-I-LAU                      1998 12
91765 TAFUNA AP TUTUILA              2002 12
91765 TAFUNA AP TUTUILA              2000 12
91843 RAROTONGA                      1997 12
91843 RAROTONGA                      1995 1
91925 ATUONA                         1996 12
91943 TAKAROA                        1997 12
91943 TAKAROA                        1995 1
91945 HEREHERETUE                    2005 5
91948 RIKITEA                        2003 12
93292 GISBORNE AD                    2001 12
93309 NEW PLYMOUTH AWS               2001 12
93309 NEW PLYMOUTH AWS               2000 12
93417 PARAPARAUMU AD                 1998 12
93615 HOKITIKA AD                    2001 12
93615 HOKITIKA AD                    1995 1
93844 INVERCARGILL AERODROME         2003 12
93987 CHATHAM ISLAND                 2003 12
93987 CHATHAM ISLAND                 2001 12
93994 RAOUL ISLKERMADEC              2003 12
93994 RAOUL ISLKERMADEC              1998 12
94120 DARWIN AIRPORT                 2005 5
94150 GOVE AIRPORT                   1998 12
94203 BROOME AIRPORT                 2003 12
94212 HALLS CREEK                    1998 12
94238 TENNANT CREEK                  2002 12
94287 CAIRNS AIRPORT                 1998 12
94299 WILLIS ISLAND                  2005 5
94299 WILLIS ISLAND                  2000 12
94300 CARNARVON AIRPORT              2005 5
94302 LEARMONTH AIR                  2000 12
94312 PORT HEDLAND AMO               2002 12
94312 PORT HEDLAND AMO               2000 12
94326 ALICE SPRINGS                  2003 12
94326 ALICE SPRINGS                  1995 1
86490 MERCEDES                       1998 12
86565 ROCHA                          1998 12
87007 LA QUIACA OBS                  2004 12
87065 RIVADAVIA                      1996 12
87078 LAS LOMITAS                    2002 12
87078 LAS LOMITAS                    2001 12
87155 RESISTENCIA AERO               1996 12
87155 RESISTENCIA AERO               1995 1
87217 LA RIOJA AE                    1995 1
87257 CERES AE                       2004 12
87257 CERES AE                       2002 12
87257 CERES AE                       1999 12
87257 CERES AE                       1998 12
87257 CERES AE                       1997 12
87270 RECONQUISTA AERO               2004 12
87344 CORDOBA AE                     2004 12
87344 CORDOBA AE                     2001 12
87374 PARANA AE                      2000 12
87374 PARANA AE                      1997 12
87544 PEHUAJO AERO                   1998 12
87692 MAR DEL PLATA                  1997 12
87715 NEUQUEN                        2002 12
87750 BAHIA BLANCA                   1999 12
87750 BAHIA BLANCA                   1997 12
87750 BAHIA BLANCA                   1996 12
87803 ESQUEL AE                      1997 12
87828 TRELEW AE                      1997 12
87828 TRELEW AE                      1995 1
87860 COMODORO RIVADAVIA             2005 5
87925 RIO GALLEGOS                   2001 12
88968 BASE ORCADAS                   2002 12
88968 BASE ORCADAS                   1999 12
89022 HALLEY                         2004 12
89022 HALLEY                         2003 12
89022 HALLEY                         1998 12
89050 BELLINGSHAUSEN                 2000 12
89055 BASE MARAMBIO (CENTRO MET. ANT 1996 12
85207 SAN IGNACIO DE VELASCO         2001 12
85207 SAN IGNACIO DE VELASCO         1996 12
85365 YACUIBA                        2001 12
85406 ARICA                          2004 12
85469 ISLA DE PASCUA                 2001 12
85488 LA SERENA                      2000 12
85488 LA SERENA                      1996 12
85543 QUINTERO                       1997 12
85585 ISLA JUAN FERNANDEZ            1999 12
85629 CURICO                         2003 12
85629 CURICO                         2001 12
85743 TEMUCO                         1997 12
85874 BALMACEDA                      2005 5
85874 BALMACEDA                      1997 12
85934 PUNTA ARENAS                   2004 12
85934 PUNTA ARENAS                   2001 12
85934 PUNTA ARENAS                   2000 12
85934 PUNTA ARENAS                   1999 12
85934 PUNTA ARENAS                   1997 12
86086 PUERTO CASADO                  1998 12
86086 PUERTO CASADO                  1995 1
86297 ENCARNACION                    1998 12
86330 ARTIGAS                        2001 12
86330 ARTIGAS                        1999 12
82571 BARRA DO CORDA                 2000 12
82571 BARRA DO CORDA                 1996 12
82571 BARRA DO CORDA                 1995 1
